candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,deliveryguard_applicability,external_evidence_closes_decision,disposition
"Current SQLite + Tenacity sender","control","src/deliveryguard; tests/test_deliveryguard.py","Focused contract suite; no multi-worker or scale result","Single process; negligible infrastructure","Implemented at 7f99acd; Tenacity upstream b3c5a9f","Transparent lifecycle and receipts; low setup","No source atomicity, leases, fairness, signatures or distributed scale","established local","Mandatory baseline","yes for bounded single-process behavior","retain"
"PostgreSQL SKIP LOCKED + lease","claim/store","PostgreSQL SELECT docs; https://github.com/procrastinate-org/procrastinate","No DeliveryGuard-local contention/bloat result","One existing Postgres service","Procrastinate d9cf91d; active 2026-07-31","Python fit; transactional claims; crash recovery patterns","Lease/fairness/vacuum policy still application-sensitive","established family","First multi-worker candidate","no","experiment"
"PgQue snapshot rotation","claim/store","https://github.com/NikolayS/PgQue; PostgreSQL release notice","Claims zero-bloat design; no local comparative result","Postgres SQL/PLpgSQL; 1-2s default delivery range","95d5c3c; active; young v0.1","Avoids hot update/delete queue path; multiple consumers","New project; latency tradeoff; integration differs from task claiming","provisional","Specialist sustained-log candidate","no","benchmark only after row-claim pressure"
"pg-boss","broker/store","https://github.com/timgit/pg-boss","No Python integration result","Postgres plus Node worker","55ee32f; active","Mature Postgres queue, rate/retry/worker semantics","Wrong runtime; exactly-once job wording does not cover HTTP effect","established","Comparative implementation evidence","yes against adoption","do not integrate"
"Celery","broker","https://github.com/celery/celery","No local throughput need established","Broker, workers and operations","571efe8; active; large issue surface","Distributed routing, workers and ecosystem","Operationally disproportionate for one POST; external effects duplicate","established","Only for proven distributed demand","yes for current scope","defer"
"Transactional outbox poller","atomicity","Debezium outbox docs; PostgreSQL","Broadly established pattern; local source transaction absent","Adds outbox table and publisher","Pattern rather than one package","Closes business-write/queue dual write","Requires source ownership and receiver dedupe","established","Required when caller owns source transaction","yes for architecture, no for poller winner","conditional invariant"
"Debezium outbox/CDC","atomicity/publish","https://github.com/debezium/debezium","Official at-least-once and outbox semantics","Kafka Connect or embedded engine operational cost","1397c91; active","Low-latency committed changes; stable IDs/partition keys","Duplicates remain; substantial platform for small jobs","established","CDC profile for existing Debezium/Kafka estate","yes for semantics","conditional"
"Temporal Python","durable workflow","https://github.com/temporalio/sdk-python","Time-skipping/replay facilities; no DeliveryGuard result","Temporal service plus workers","39b820d; active","Durable timers, replay and long workflows","Service boundary, determinism constraints, overkill for single POST","established","Multi-step long-running profile only","yes for current single-step scope","defer"
"DBOS Python","durable workflow","https://github.com/dbos-inc/dbos-transact-py","No local comparison","Postgres-backed embedded runtime","4ed0d55; active","Python/Postgres fit; durable workflows/queues","Framework adoption and semantics need integration proof","provisional","Prototype only if multi-step need appears","no","defer"
"Restate Python","durable workflow","https://github.com/restatedev/sdk-python; Restate durable webhook docs","No local comparison","Restate runtime plus SDK","5dfca1a; active","Durable handlers, timers and idempotent webhook processing","New runtime; receiver guarantee language is system-scoped","provisional","Alternative long-running/event profile","no","defer"
"Bounded exponential backoff + full jitter","retry","AWS retry guidance; Tenacity","Established congestion behavior; exact policy unmeasured","Negligible","Tenacity already adopted","Reduces synchronized retry storms","Nondeterministic tests unless clock/RNG injected","established","Immediate controlled experiment","yes for principle","experiment"
"Retry-After support","retry","RFC 9110; provider documentation","Normative date/delay formats","Negligible","Custom thin parser or maintained HTTP helper","Honors server recovery/rate hint","Clock skew, huge/malformed values require bounds","established","Add only through conformance vectors","yes","experiment"
"Standard Webhooks signatures","security","https://github.com/standard-webhooks/standard-webhooks","Interoperability spec; no local verifier result","Low CPU; key management","2919676; active","Raw-body verification, timestamps, HMAC/Ed25519 conventions","Does not define queue/delivery policy","established","Reusable receiver-side profile","yes for protocol","prototype thin verifier"
"CloudEvents","envelope","https://github.com/cloudevents/spec","Specification, not quality benchmark","Low serialization cost","c2845a4; active","Shared identity/type/source envelope","No signatures, delivery or processing guarantee","established","Only multi-producer/consumer interoperability","yes for boundary","defer"
"Toxiproxy","fault evaluation","https://github.com/Shopify/toxiproxy","Deterministic network fault primitives","Local proxy/container","94d6d4b; active","Latency, timeout, reset, bandwidth faults","Does not create DB/process/semantic faults","established","Shared fault harness candidate","yes","adopt for experiment harness"
"Svix service","full product","https://github.com/svix/svix-webhooks","Production-oriented implementation; no local comparison","Separate service and broad stack","ff6af43; active","Comprehensive webhook delivery/reference","Far broader than component seam; integration would replace project","established","Reference only","yes against component adoption","do not adopt wholesale"

